CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
2016-02-22,10:03,STATEN ISLAND,10312,40.5554802,-74.1648471,"(40.5554802, -74.1648471)",RIDGEWOOD AVENUE                ,LEVERETT AVENUE                 ,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,,,,3393172,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2016-11-18,4:59,BRONX,10459,40.820305,-73.89083,"(40.820305, -73.89083)",BRUCKNER BOULEVARD              ,HUNTS POINT AVENUE,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3563880,Sedan,Tractor Truck Diesel,,,
2024-07-27,15:47,MANHATTAN,10065,40.767235,-73.96454,"(40.767235, -73.96454)",LEXINGTON AVENUE,EAST 67 STREET,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4744124,Station Wagon/Sport Utility Vehicle,Taxi,,,
2018-02-24,20:25,,,40.675518,-73.81088,"(40.675518, -73.81088)",127 STREET                      ,,,0.0,0.0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,,,,3851716,Sedan,Station Wagon/Sport Utility Vehicle,,,
2022-03-02,18:05,BROOKLYN,11238,40.67792,-73.970055,"(40.67792, -73.970055)",,,201       PROSPECT PLACE,1.0,0.0,0,0,1,0,0,0,View Obstructed/Limited,Unspecified,,,,4506998,Taxi,Bike,,,
2017-09-20,13:33,QUEENS,11432,40.7082,-73.80109,"(40.7082, -73.80109)",161 STREET                      ,HILLSIDE AVENUE,,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Driver Inattention/Distraction,,,,3754366,Sedan,Sedan,,,
2018-11-06,9:45,,,40.7524,-73.74622,"(40.7524, -73.74622)",LONG ISLAND EXPRESSWAY          ,,,0.0,0.0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,,,,4015335,Carry All,Station Wagon/Sport Utility Vehicle,,,
2017-08-22,19:00,MANHATTAN,10011,40.734783,-73.998726,"(40.734783, -73.998726)",AVENUE OF THE AMERICAS          ,WEST 10 STREET,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3737017,Box Truck,Box Truck,,,
2019-09-28,14:00,BROOKLYN,11238,40.678326,-73.97203,"(40.678326, -73.97203)",CARLTON AVENUE                  ,PROSPECT PLACE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4214855,Sedan,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,
2021-07-02,20:22,BROOKLYN,11221,40.691555,-73.93677,"(40.691555, -73.93677)",LEWIS AVENUE,LAFAYETTE AVENUE,,1.0,0.0,0,0,0,0,1,0,Driver Inexperience,Driver Inattention/Distraction,,,,4436581,Station Wagon/Sport Utility Vehicle,Taxi,,,
